score,edge,leg,k_size,max_$,kalshi,poly
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP above ___ on July 24? | 1.40
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP above ___ on July 24? | 1.50
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP above ___ on July 24? | 1.60
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"CZ # posts July 17 - July 24, 2026? | 60-79"
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"CZ # posts July 17 - July 24, 2026? | 80-99"
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 24? | <0.60
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 24? | 0.60-0.70
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 24? | 0.70-0.80
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 24? | 1.40-1.50
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 24? | >1.50
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 24? | <30
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 24? | 30-40
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 24? | 40-50
0.67,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 24? | 50-60
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 24? | 70,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 24? | 72,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 24? | 74,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↑ 2.60
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↓ 0.40
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 24? | 2,100"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 24? | 2,200"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 24? | 2,300"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 25? | 74,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit in July? | ↓ 30
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit in July? | ↓ 20
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit in July? | ↓ 10
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 24? | <54,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 24? | 54,000-56,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 24? | 70,000-72,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"CZ # posts July 17 - July 24, 2026? | 200+"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 26? | 74,000"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 25? | 2,200"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 17 - July 24, 2026? | 45-49"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 17 - July 24, 2026? | 50-54"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 17 - July 24, 2026? | 55-59"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 17 - July 24, 2026? | 60+"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum price on July 24? | <1,400"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum price on July 24? | >2,300"
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit on July 23? | ↑ 90
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit on July 23? | ↓ 60
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit on July 23? | ↓ 55
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 26? | 90-100
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 24? | >120
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 24? | 100
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 24? | 110
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 24? | 120
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Price of Dozen Eggs in July? | <$1.50
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Price of Dozen Eggs in July? | $1.50–$1.75
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Price of Dozen Eggs in July? | $2.75–$3.00
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit July 20-26? | ↓ 40
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit July 20-26? | ↓ 30
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit July 20-26? | ↓ 20
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit July 20-26? | ↓ 10
0.5,0.959,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum price on July 25? | <1,400"
0.67,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP above ___ on July 24? | 1.30
0.67,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 24? | 1.30-1.40
0.67,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 24? | 90
0.67,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,How many 6.5 or above earthquakes July 20 - July 26? | >
0.67,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"CZ # posts July 21 - July 28, 2026? | 60-79"
0.5,0.958,kalYES+polyNO,500.0,479.0,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 24? | 58,000"
0.5,0.958,kalYES+polyNO,500.0,479.0,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 24? | 58,000"
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↑ 3.00
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↑ 2.80
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↑ 2.40
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↑ 2.20
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↓ 0.20
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 24? | 56,000-58,000"
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 24? | >72,000"
