question,daily_pool,vol24h,liq,mid,spread_c,max_c,min_size,dtr,bid_qual,ask_qual,cap_used,share_pct,daily_$,weekly_$,wk_ROC_%
Will Jimmy Gomez win the CA-34 House seat?,157.0,2989,694,0.28,22.0,4.5,20,102.8,0,0,93.6,100.0,157.0,1099.0,1174.1
Iran full airspace closure by July 27?,300.0,51956,7390,0.275,1.0,4.5,200,3.8,0,571,198.0,41.18,123.55,864.87,436.8
Will Spirit Qualify to LAN BLAST Bounty 2026 Season ,60.0,4660,222,0.8,14.0,4.5,20,9.8,0,0,86.0,100.0,60.0,420.0,488.4
"Will Warsh say ""Projection"" during July Press Confer",50.0,3474,1148,0.49,18.0,4.5,30,5.8,0,0,98.4,100.0,50.0,350.0,355.7
Will NYC Mayor post 40-59 posts from July 24 to July,96.0,1812,489,0.435,1.0,4.5,20,7.4,80,117,99.0,50.38,48.36,338.54,342.0
"Will ""The Hawk: Season 1"" be the top US Netflix show",100.0,1634,1246,0.655,3.0,4.5,20,4.8,199,46,97.0,44.94,44.94,314.61,324.3
Will Spider-Man: Brand New Day have the 2nd best dom,127.0,2156,984,0.64,6.0,4.5,20,160.8,179,256,94.0,31.49,39.99,279.9,297.8
Will voter turnout be between 78% and 80% in the 202,115.0,2102,3370,0.31,2.0,5.5,50,105.8,196,283,98.0,29.37,33.78,236.46,241.3
Israel x Iran ceasefire continues through July 31?,1000.0,181074,30400,0.555,1.0,2.5,200,7.8,2993,8768,198.0,3.29,32.89,230.23,116.3
Will S&P 500 (SPY) hit (LOW) $730 in July?,50.0,4081,807,0.49,2.0,4.5,50,7.9,111,0,98.0,64.26,32.13,224.92,229.5
Will Google be the #2 AI lab at the end of August 20,46.0,1433,1916,0.17,8.0,4.5,20,38.8,0,100,92.0,66.67,30.67,214.67,233.3
Will Madonna's monthly listeners figure hit 58m by A,100.0,2507,221,0.095,1.0,4.5,20,38.8,387,88,99.0,29.56,29.56,206.91,209.0
Will Raquel Lyra win the Pernambuco Governor electio,41.0,2797,1121,0.325,11.0,5.5,50,72.8,74,5,89.0,71.44,29.29,205.04,230.4
Will João Campos win the Pernambuco Governor electio,53.0,3189,1643,0.53,6.0,5.5,50,72.8,121,60,94.0,52.4,27.77,194.41,206.8
Will the next Claude Opus model be released on July ,63.0,12662,4166,0.1975,6.5,4.5,50,3.8,61,216,93.5,41.86,26.37,184.62,197.5
Will Shakira's monthly listeners figure hit 110m by ,100.0,1785,774,0.265,3.0,4.5,20,38.8,361,221,97.0,25.58,25.58,179.03,184.6
Will Ralph Norman win the first round of the South C,110.0,1408,4439,0.13,2.0,4.5,20,18.8,260,410,98.0,22.96,25.25,176.77,180.4
Will Houthis successfully target shipping on August ,100.0,1387,822,0.1555,0.7,4.5,20,8.8,344,326,99.3,22.96,22.96,160.72,161.8
Will the next Claude Opus model be released by July ,200.0,18092,3941,0.525,3.0,4.5,50,3.8,1485,96,97.0,11.23,22.45,157.16,162.0
Will WTI Crude Oil (WTI) hit (LOW) $90 in July?,100.0,11200,1434,0.77,2.0,4.5,100,8.0,324,424,98.0,21.07,21.07,147.49,150.5
Iran military action against a Gulf State on July 27,60.0,2461,4895,0.5,2.0,4.5,200,3.8,731,61,196.0,33.56,20.13,140.94,71.9
Will Reformation's market cap be between $1.4B and $,20.0,1596,357,0.1925,33.3,4.5,20,6.7,0,0,93.38,100.0,20.0,140.0,149.9
Will the Bank of Japan announce a 25 bps increase at,20.0,2479,1641,0.325,11.0,4.5,50,56.4,0,0,89.0,100.0,20.0,140.0,157.3
Will Scott Timko win the special election to fill th,261.0,6987,5476,0.795,3.0,4.5,20,25.8,1659,1106,97.0,6.74,17.6,123.22,127.0
Will Houthis successfully target shipping on August ,100.0,1533,2010,0.08,2.0,4.5,20,32.8,609,350,98.0,17.24,17.24,120.7,123.2
Will the Eurozone's 2026 Annual Inflation be between,17.0,3361,627,0.3245,20.5,4.5,50,178.8,0,0,79.5,100.0,17.0,119.0,149.7
Will Houthis successfully target shipping on August ,100.0,1807,1618,0.135,1.0,4.5,20,38.8,718,272,99.0,16.79,16.79,117.55,118.7
Will Marathon Petroleum (MPC) beat quarterly earning,100.0,2187,845,0.725,1.0,4.5,20,11.3,500,503,99.0,16.63,16.63,116.38,117.6
Will there be at least 2350 measles cases in the U.S,20.0,2749,573,0.325,11.0,5.5,50,7.8,8,32,89.0,82.93,16.59,116.1,130.4
Will Shakira's monthly listeners figure hit 107m by ,100.0,1376,855,0.725,3.0,4.5,20,38.8,517,494,97.0,16.5,16.5,115.5,119.1
Will LeBron's next contract average under $4M per ye,79.0,4147,1201,0.311,0.8,4.5,50,99.8,553,232,99.2,20.3,16.04,112.27,113.2
Will Darline Graham Nordone win the first round of t,262.0,1369,3580,0.755,1.0,4.5,20,18.8,1111,2099,99.0,5.86,15.36,107.52,108.6
Will Wix.com (WIX) beat quarterly earnings?,40.0,1394,323,0.355,7.0,4.5,50,11.3,201,136,93.0,37.17,14.87,104.08,111.9
Will Toy Story 5 have the 3rd best domestic opening ,213.0,1887,1657,0.78,2.0,4.5,20,160.8,289,2498,98.0,6.69,14.26,99.8,101.8
Iran full airspace closure by July 31?,300.0,90852,18080,0.335,1.0,4.5,200,7.8,6226,1792,198.0,4.75,14.25,99.78,50.4
Will WTI Crude Oil (WTI) hit (HIGH) $95 in July?,200.0,202250,14428,0.6365,0.1,4.5,100,8.0,1950,695,99.9,7.03,14.05,98.36,98.5
Will Ares Capital (ARCC) beat quarterly earnings?,100.0,1638,1016,0.435,1.0,4.5,20,5.3,446,873,99.0,13.16,13.16,92.14,93.1
Will the next Claude Opus model be released on July ,62.0,15715,4870,0.1985,2.3,4.5,50,6.8,255,489,97.7,21.17,13.12,91.86,94.0
Will Jay Collins finish second in the Florida Republ,13.0,1537,1145,0.645,15.0,4.5,50,25.8,0,0,85.0,100.0,13.0,91.0,107.1
Clarity Act signed into law in 2026?,1000.0,166295,52504,0.375,1.0,3.5,200,161.0,12677,19206,198.0,1.24,12.39,86.73,43.8
Will Elon Musk’s net worth be between $0.70T and $0.,51.0,2022,2655,0.451,0.8,5.5,50,7.8,264,379,99.2,23.7,12.08,84.59,85.3
Will the next Claude Opus model be released by July ,200.0,42383,6274,0.795,1.0,4.5,100,7.8,1824,1313,99.0,5.99,11.99,83.9,84.7
Will Moonshot have the best Code Arena | WebDev AI a,100.0,3760,1551,0.9035,0.9,4.5,50,7.8,886,598,99.1,11.87,11.87,83.06,83.8
Will LeBron's next contract average $4M-$10M per yea,112.0,1527,1179,0.5765,0.9,4.5,50,99.8,656,1079,99.1,10.33,11.57,80.98,81.7
Will Starbucks (SBUX) beat quarterly earnings?,100.0,4351,1032,0.765,3.0,4.5,20,4.7,961,594,97.0,11.39,11.39,79.75,82.2
Will Nigel Farage win 60–70% of votes in the Clacton,43.0,2199,9659,0.355,1.0,4.5,100,341.8,316,259,99.0,25.79,11.09,77.64,78.4
Will Caterpillar (CAT) beat quarterly earnings?,40.0,1364,454,0.825,1.0,4.5,50,11.3,225,301,99.0,27.51,11.0,77.03,77.8
Will Kawhi play for the Toronto Raptors in 2026-27?,95.0,2654,1138,0.8465,0.1,4.5,50,99.8,133,1420,99.9,11.41,10.84,75.86,75.9
Will a Chinese company have one of the top 5 AI mode,50.0,4218,4439,0.465,1.0,4.5,100,159.8,516,265,99.0,20.37,10.18,71.28,72.0
"Chuck Edwards out as US Rep before December 31, 2026",10.0,3172,518,0.445,15.0,4.5,50,160.8,0,0,85.0,100.0,10.0,70.0,82.4
Will Tower Semiconductor (TSEM) beat quarterly earni,100.0,2230,1659,0.785,1.0,4.5,20,11.3,1127,700,99.0,9.86,9.86,69.03,69.7
Will the Eurozone's 2026 Annual Inflation be between,13.0,8968,447,0.29,2.0,4.5,50,178.8,65,5,98.0,73.99,9.62,67.33,68.7
"Will Tesla, Inc. (TSLA) hit (LOW) $315 in July?",20.0,1809,530,0.74,8.0,5.5,40,7.9,73,112,73.6,46.38,9.28,64.93,88.2
Will Aisha Wahab win the CA-14 House seat?,311.0,3865,6494,0.875,1.0,4.5,20,102.8,3490,3336,99.0,2.85,8.85,61.96,62.6
Will MGM Resorts (MGM) beat quarterly earnings?,40.0,1610,531,0.585,1.0,4.5,50,5.7,35,686,99.0,21.69,8.68,60.73,61.3
Iran military action against a Gulf State on July 29,60.0,1477,5562,0.5,2.0,4.5,200,5.8,867,1518,196.0,14.36,8.61,60.3,30.8
Will voter turnout be between 76% and 78% in the 202,124.0,1756,6149,0.325,1.0,5.5,50,105.8,1180,1644,99.0,6.61,8.2,57.4,58.0
Will MrBeast's next video get between 60 and 70 mill,8.0,2277,1400,0.25,18.0,4.5,50,7.8,0,0,82.0,100.0,8.0,56.0,68.3
Will Elon Musk’s net worth be less than $0.70T on Ju,36.0,4025,1981,0.3335,0.7,5.5,50,7.8,163,544,99.3,22.05,7.94,55.56,55.9
Will Moonshot have the best Chinese AI model at the ,80.0,11713,5881,0.145,0.2,4.5,50,6.8,823,1037,99.8,9.7,7.76,54.33,54.4
Will there be Saudi Arabian military action against ,10.0,7926,2673,0.45,8.0,4.5,50,7.8,31,30,92.0,76.4,7.64,53.48,58.1
Will Taylor Swift be the third most streamed artist ,25.0,1834,1068,0.43,4.0,4.5,50,161.0,309,148,96.0,30.44,7.61,53.27,55.5
"US announces end of Iranian blockade by August 31, 2",100.0,15322,26059,0.425,3.0,4.5,200,38.8,3098,1808,194.0,7.54,7.54,52.77,27.2
Iran full airspace closure by August 31?,200.0,27485,23316,0.575,1.0,4.5,20,38.8,2842,2342,99.0,3.71,7.43,51.99,52.5
Will Natural Gas (NG) hit (LOW) $2.80 in July?,50.0,1758,6076,0.415,5.0,4.5,50,7.9,773,451,95.0,14.03,7.01,49.1,51.7
Israel closes its airspace by July 31?,300.0,102836,27502,0.375,1.0,4.5,300,6.8,20675,4650,297.0,2.31,6.94,48.6,16.4
US announces halt in Iran offensive operations by Au,100.0,16348,32762,0.39,2.0,3.5,200,22.8,4218,1439,196.0,6.6,6.6,46.22,23.6
Will there be exactly 4 ChatGPT outages in July 2026,50.0,1689,2071,0.365,3.0,5.5,50,7.8,392,930,97.0,13.14,6.57,45.98,47.4
Iran charges Hormuz fees by August 31?,30.0,14011,13606,0.43,2.0,4.5,200,38.8,621,847,196.0,21.41,6.42,44.96,22.9
Israel x Iran ceasefire continues through August 31?,300.0,80839,40396,0.275,1.0,2.5,200,38.8,15980,2457,198.0,2.12,6.37,44.59,22.5
Copper cable hit with Sec. 232 tariffs by December 3,250.0,2574,3889,0.165,1.0,4.5,20,160.8,5229,2539,99.0,2.51,6.27,43.92,44.4
Coca-Cola (KO) Q2 global unit case volume growth 3.5,6.0,1880,565,0.14,10.0,4.5,50,4.3,0,0,90.0,100.0,6.0,42.0,46.7
Will Andy Ogles be the TN-05 Republican nominee?,193.0,2195,2554,0.665,1.0,4.5,20,13.8,312,5947,99.0,3.1,5.98,41.83,42.3
Will OpenAI announce glasses in 2026?,10.0,1352,1518,0.155,3.0,4.5,200,159.8,223,46,194.0,59.73,5.97,41.81,21.6
Iran full airspace closure by August 15?,100.0,13162,10280,0.56,2.0,4.5,20,22.8,1919,1244,98.0,5.94,5.94,41.61,42.5
Will the next Claude Opus model be released by July ,200.0,5670,4184,0.635,1.0,4.5,50,5.8,3409,3191,99.0,2.94,5.88,41.17,41.6
Will CXMT’s closing IPO market cap be at least 3.5T ,400.0,4576,10034,0.3,2.0,4.5,20,160.8,1759,11774,98.0,1.46,5.82,40.77,41.6
Will Jasper Philipsen be awarded the Green Jersey at,86.0,4501,5569,0.114,0.8,4.5,50,16.8,810,2091,99.2,6.45,5.54,38.81,39.1
"Will Warsh say ""Shock"" during July Press Conference?",50.0,1654,2060,0.545,1.0,4.5,30,5.8,420,1032,89.1,11.02,5.51,38.58,43.3
US-Iran 60 day negotiation period extended?,100.0,16179,24320,0.405,1.0,4.5,200,27.8,2974,3969,198.0,5.45,5.45,38.13,19.3
Will Robinhood (HOOD) beat quarterly earnings?,40.0,1729,980,0.755,1.0,4.5,50,5.7,727,548,99.0,13.55,5.42,37.93,38.3
USMCA extended in 2026?,10.0,1986,1482,0.315,7.0,4.5,50,160.8,155,16,93.0,53.77,5.38,37.64,40.5
Will Bruno Fernandes stay at Manchester United?,50.0,1680,1587,0.8845,3.3,4.5,50,39.9,571,1149,96.7,10.42,5.21,36.45,37.7
"Will Trump meet with Netanyahu by August 31, 2026?",30.0,10344,8068,0.495,3.0,4.5,200,38.8,974,1045,194.0,16.54,4.96,34.72,17.9
Israel x Iran ceasefire continues through August 15?,100.0,61175,19357,0.345,1.0,2.5,200,22.8,5752,2081,198.0,4.86,4.86,34.01,17.2
