question,volume24hr,liquidity,bestBid,bestAsk,spread,rewards_min_size,rewards_max_spread,days_to_resolve
"Will Russia capture Sumy by March 31, 2027?",47154.0,36805.0,0.05,0.06,0.01,50.0,6.5,249.8
"Russia x Ukraine ceasefire agreement by August 31, 2026?",14267.0,38520.0,0.1,0.11,0.01,100.0,6.5,37.8
"Russia x Ukraine ceasefire agreement by August 31, 2026?",14267.0,39403.0,0.1,0.11,0.01,100.0,6.5,37.8
"Will Russia capture Kostyantynivka by December 31, 2026?",13765.0,266913.0,0.887,0.889,0.002,100.0,6.5,160.3
"Russia x Ukraine ceasefire agreement by October 31, 2026?",6919.0,40483.0,0.22,0.24,0.02,50.0,6.5,98.8
"Russia x Ukraine ceasefire agreement by December 31, 2026?",6452.0,98160.0,0.36,0.37,0.01,50.0,6.5,159.8
Will The Batman: Part II be delayed?,4107.0,2984.0,0.18,0.19,0.01,50.0,6.5,573.8
Will Adam Schiff win the 2028 US Presidential Election?,163789.0,662245.0,0.001,0.002,0.001,200.0,5.5,836.8
Will Alex Padilla win the 2028 US Presidential Election?,149298.0,291394.0,0.001,0.002,0.001,200.0,5.5,836.8
Will Renan Santos win the 2026 Brazilian presidential electi,94308.0,251012.0,0.115,0.116,0.001,100.0,5.5,71.8
Will Flávio Bolsonaro win the 2026 Brazilian presidential el,72903.0,270434.0,0.229,0.23,0.001,100.0,5.5,71.8
Will Elissa Slotkin win the 2028 Democratic presidential nom,71814.0,598162.0,0.004,0.005,0.001,200.0,5.5,836.8
KRG declares independence from Iraq by December 31?,57958.0,2501.0,0.07,0.074,0.004,200.0,5.5,159.8
Will Jon Ossoff win the 2028 Democratic presidential nominat,56228.0,292088.0,0.142,0.143,0.001,200.0,5.5,836.8
Will JD Vance win the 2028 US Presidential Election?,52594.0,609896.0,0.198,0.199,0.001,200.0,5.5,836.8
Will AfD win the most seats in the 2026 Berlin state electio,47000.0,43835.0,0.211,0.218,0.007,50.0,5.5,57.8
Will Rick Scott win the 2028 US Presidential Election?,43577.0,403541.0,0.002,0.003,0.001,20.0,5.5,836.8
Will United Russia (ER) gain the most seats in the next Russ,35592.0,214370.0,0.56,0.57,0.01,20.0,5.5,67.8
Will Luiz Inácio Lula da Silva win the 2026 Brazilian presid,33713.0,491586.0,0.6,0.61,0.01,100.0,5.5,71.8
Will Marco Rubio win the 2028 US Presidential Election?,32213.0,568644.0,0.138,0.139,0.001,200.0,5.5,836.8
Will François Baroin win the 2027 French presidential electi,31172.0,228901.0,0.001,0.002,0.001,50.0,5.5,279.8
Will Crude Oil reach a new all-time high by September 30?,28931.0,33337.0,0.113,0.119,0.006,100.0,5.5,67.8
Will Josh Stein win the 2028 US Presidential Election?,28710.0,692294.0,0.001,0.002,0.001,200.0,5.5,836.8
Will François Baroin win the 2027 French presidential electi,28392.0,211268.0,0.001,0.002,0.001,50.0,5.5,279.8
Will Count Binface win the Clacton by-election?,27285.0,96847.0,0.039,0.042,0.003,50.0,5.5,341.8
